Date & Hour,open,high,low,close,volume
2020-04-17 15:30:00,24038.8496,24264.2109,24038.8496,24232.0391,65742022
2020-04-17 14:30:00,23923.2891,24040.8906,23867.6309,24039.0508,40621828
2020-04-17 13:30:00,23970.7793,24015.9004,23907.5293,23923.3906,33277379
2020-04-17 12:30:00,23903.9395,24030.9805,23901.8691,23970.0605,33488591
2020-04-17 11:30:00,23853.0996,23963.6406,23852.9805,23903.4395,41939805
2020-04-17 10:30:00,23905.9492,23957.5508,23826.5703,23851.1797,53107184
2020-04-17 09:30:00,24075.8496,24106.8301,23868.2500,23907.5391,0
2020-04-16 15:30:00,23488.7500,23598.0801,23476.0898,23534.8105,51191023
2020-04-16 14:30:00,23421.8809,23491.2305,23382.3301,23489.9102,43719017
2020-04-16 13:30:00,23374.1309,23466.1992,23297.9492,23421.8398,36191469
2020-04-16 12:30:00,23297.6895,23376.1602,23216.8398,23374.3906,39027253
2020-04-16 11:30:00,23434.0508,23522.4609,23269.1504,23300.9609,45992333
2020-04-16 10:30:00,23344.9492,23510.0605,23270.5508,23436.9609,51024797
2020-04-16 09:30:00,23541.5996,23566.3594,23215.3906,23346.2109,0
2020-04-15 15:30:00,23510.9395,23537.7793,23442.4395,23505.6504,44131148
2020-04-15 14:30:00,23574.2695,23649.7207,23481.7695,23511.4609,44596182
2020-04-15 13:30:00,23478.7109,23586.3496,23415.4805,23573.4199,34434933
2020-04-15 12:30:00,23388.1602,23566.7598,23371.1699,23476.7500,33581114
2020-04-15 11:30:00,23319.6992,23401.5996,23269.5098,23388.1504,33169434
2020-04-15 10:30:00,23290.9102,23364.6992,23233.3203,23319.4004,48775742
2020-04-15 09:30:00,23399.5508,23503.0996,23256.5605,23290.7500,0
2020-04-14 15:30:00,23909.7207,24000.4805,23897.5293,23951.1992,49254648
2020-04-14 14:30:00,23937.8691,23951.5605,23825.2207,23909.1094,43632687
2020-04-14 13:30:00,23903.6191,23992.6094,23898.2109,23937.9395,39106845
2020-04-14 12:30:00,23932.7207,23958.2305,23849.3906,23903.4805,37644468
2020-04-14 11:30:00,23751.6309,23970.0391,23751.6309,23932.3691,45093504
2020-04-14 10:30:00,23976.2598,23982.1504,23683.4395,23753.1191,61490352
2020-04-14 09:30:00,23816.3203,24040.5801,23788.3496,23970.6602,0
2020-04-13 15:30:00,23347.4609,23494.9297,23327.1504,23385.4609,47037812
2020-04-13 14:30:00,23246.3301,23376.1992,23210.3203,23346.8301,34248037
2020-04-13 13:30:00,23196.7695,23348.8594,23184.3809,23246.2402,29828236
2020-04-13 12:30:00,23303.9902,23322.0000,23166.4199,23196.8496,27678601
2020-04-13 11:30:00,23266.3496,23392.8301,23173.7793,23306.4707,35942495
2020-04-13 10:30:00,23289.7305,23310.7793,23095.3496,23267.1699,44897171
2020-04-13 09:30:00,23698.9297,23698.9297,23225.8691,23289.4707,0
2020-04-09 15:30:00,23754.7207,23817.9492,23636.6797,23704.0801,59251066
